Species,Value,Date_col,Date_an,Sample_num,Time,Plant
Phosphorus,30.43,6/24/2021,7/2/2021,HNSr2,27,bibb
Potassium,133.2,6/24/2021,7/2/2021,HNSr2,27,bibb
Calcium,173.5,6/24/2021,7/2/2021,HNSr2,27,bibb
Magnesium,53.25,6/24/2021,7/2/2021,HNSr2,27,bibb
Sulfate,202.44,6/24/2021,7/2/2021,HNSr2,27,bibb
Boron,0.47,6/24/2021,7/2/2021,HNSr2,27,bibb
Zinc,0.31,6/24/2021,7/2/2021,HNSr2,27,bibb
Manganese,0.4,6/24/2021,7/2/2021,HNSr2,27,bibb
Iron,2.19,6/24/2021,7/2/2021,HNSr2,27,bibb
Copper,0.65,6/24/2021,7/2/2021,HNSr2,27,bibb
Molybdenum,0.09,6/24/2021,7/2/2021,HNSr2,27,bibb
pH,6.1,6/24/2021,7/2/2021,HNSr2,27,bibb
Nitrate-Nitrogen,188.58,6/24/2021,7/2/2021,HNSr3,18,romaine
Ammonia-Nitrogen,0.02,6/24/2021,7/2/2021,HNSr3,18,romaine
Phosphorus,39.22,6/24/2021,7/2/2021,HNSr3,18,romaine
Potassium,135.33,6/24/2021,7/2/2021,HNSr3,18,romaine
Calcium,167,6/24/2021,7/2/2021,HNSr3,18,romaine
Magnesium,47.84,6/24/2021,7/2/2021,HNSr3,18,romaine
Sulfate,181.5,6/24/2021,7/2/2021,HNSr3,18,romaine
Boron,0.37,6/24/2021,7/2/2021,HNSr3,18,romaine
Zinc,0.24,6/24/2021,7/2/2021,HNSr3,18,romaine
Manganese,0.18,6/24/2021,7/2/2021,HNSr3,18,romaine
Iron,2.19,6/24/2021,7/2/2021,HNSr3,18,romaine
Copper,0.46,6/24/2021,7/2/2021,HNSr3,18,romaine
Molybdenum,0.09,6/24/2021,7/2/2021,HNSr3,18,romaine
pH,5.8,6/24/2021,7/2/2021,HNSr3,18,romaine
Nitrate-Nitrogen,220,7/1/2021,7/6/2021,HNSr1,9,romaine
Ammonia-Nitrogen,0.4,7/1/2021,7/6/2021,HNSr1,9,romaine
Phosphorus,0.36,7/1/2021,7/6/2021,HNSr1,9,romaine
Potassium,173.42,7/1/2021,7/6/2021,HNSr1,9,romaine
Calcium,164.23,7/1/2021,7/6/2021,HNSr1,9,romaine
Magnesium,45.39,7/1/2021,7/6/2021,HNSr1,9,romaine
Sulfate,164.53,7/1/2021,7/6/2021,HNSr1,9,romaine
Boron,0.34,7/1/2021,7/6/2021,HNSr1,9,romaine
Zinc,0.01,7/1/2021,7/6/2021,HNSr1,9,romaine
Manganese,0.06,7/1/2021,7/6/2021,HNSr1,9,romaine
Iron,2.19,7/1/2021,7/6/2021,HNSr1,9,romaine
Copper,0.41,7/1/2021,7/6/2021,HNSr1,9,romaine
Molybdenum,0.04,7/1/2021,7/6/2021,HNSr1,9,romaine
pH,5.7,7/1/2021,7/6/2021,HNSr1,9,romaine
Nitrate-Nitrogen,215,7/1/2021,7/6/2021,HNSr3,25,romaine
Ammonia-Nitrogen,0.04,7/1/2021,7/6/2021,HNSr3,25,romaine
Phosphorus,0.56,7/1/2021,7/6/2021,HNSr3,25,romaine
Potassium,92.92,7/1/2021,7/6/2021,HNSr3,25,romaine
Calcium,216.41,7/1/2021,7/6/2021,HNSr3,25,romaine
Magnesium,61.15,7/1/2021,7/6/2021,HNSr3,25,romaine
Sulfate,238.21,7/1/2021,7/6/2021,HNSr3,25,romaine
Boron,0.45,7/1/2021,7/6/2021,HNSr3,25,romaine
Zinc,0.06,7/1/2021,7/6/2021,HNSr3,25,romaine
Manganese,0.13,7/1/2021,7/6/2021,HNSr3,25,romaine
Iron,2.78,7/1/2021,7/6/2021,HNSr3,25,romaine
Copper,0.62,7/1/2021,7/6/2021,HNSr3,25,romaine
Molybdenum,0.1,7/1/2021,7/6/2021,HNSr3,25,romaine
pH,6.2,7/1/2021,7/6/2021,HNSr3,25,romaine
Nitrate-Nitrogen,284.78,7/8/2021,7/26/2021,HNSr1,16,romaine
Ammonia-Nitrogen,0.07,7/8/2021,7/26/2021,HNSr1,16,romaine
Phosphorus,30.73,7/8/2021,7/26/2021,HNSr1,16,romaine
Potassium,124.81,7/8/2021,7/26/2021,HNSr1,16,romaine
Calcium,175.27,7/8/2021,7/26/2021,HNSr1,16,romaine
Magnesium,49.92,7/8/2021,7/26/2021,HNSr1,16,romaine
Sulfate,179.97,7/8/2021,7/26/2021,HNSr1,16,romaine
Boron,0.35,7/8/2021,7/26/2021,HNSr1,16,romaine
Zinc,0.26,7/8/2021,7/26/2021,HNSr1,16,romaine
Manganese,0.26,7/8/2021,7/26/2021,HNSr1,16,romaine
Iron,2.18,7/8/2021,7/26/2021,HNSr1,16,romaine
Copper,0.42,7/8/2021,7/26/2021,HNSr1,16,romaine
Molybdenum,0.07,7/8/2021,7/26/2021,HNSr1,16,romaine
pH,6,7/8/2021,7/26/2021,HNSr1,16,romaine
Nitrate-Nitrogen,232.6,7/8/2021,7/26/2021,HNSr3,3,romaine
Ammonia-Nitrogen,8.48,7/8/2021,7/26/2021,HNSr3,3,romaine
Phosphorus,39.01,7/8/2021,7/26/2021,HNSr3,3,romaine
Potassium,146.43,7/8/2021,7/26/2021,HNSr3,3,romaine
Calcium,163.87,7/8/2021,7/26/2021,HNSr3,3,romaine
Magnesium,45.22,7/8/2021,7/26/2021,HNSr3,3,romaine
Sulfate,164.78,7/8/2021,7/26/2021,HNSr3,3,romaine
Boron,0.33,7/8/2021,7/26/2021,HNSr3,3,romaine
Zinc,0.26,7/8/2021,7/26/2021,HNSr3,3,romaine
Manganese,0.01,7/8/2021,7/26/2021,HNSr3,3,romaine
Iron,1.97,7/8/2021,7/26/2021,HNSr3,3,romaine
Copper,0.31,7/8/2021,7/26/2021,HNSr3,3,romaine
Molybdenum,0.08,7/8/2021,7/26/2021,HNSr3,3,romaine
pH,5.8,7/8/2021,7/26/2021,HNSr3,3,romaine
Ammonia-Nitrogen,0.08,7/15/2021,7/26/2021,HNSr1,23,romaine
Boron,0.47,7/15/2021,7/26/2021,HNSr1,23,romaine
Calcium,222.34,7/15/2021,7/26/2021,HNSr1,23,romaine
Copper,0.59,7/15/2021,7/26/2021,HNSr1,23,romaine
Iron,3.01,7/15/2021,7/26/2021,HNSr1,23,romaine
Magnesium,64.95,7/15/2021,7/26/2021,HNSr1,23,romaine
Manganese,0.08,7/15/2021,7/26/2021,HNSr1,23,romaine
Molybdenum,0.09,7/15/2021,7/26/2021,HNSr1,23,romaine
Nitrate-Nitrogen,246.45,7/15/2021,7/26/2021,HNSr1,23,romaine
pH,6.1,7/15/2021,7/26/2021,HNSr1,23,romaine
Phosphorus,48.99,7/15/2021,7/26/2021,HNSr1,23,romaine
Potassium,72.39,7/15/2021,7/26/2021,HNSr1,23,romaine
Sulfate,231.92,7/15/2021,7/26/2021,HNSr1,23,romaine
Zinc,0.30,7/15/2021,7/26/2021,HNSr1,23,romaine
Ammonia-Nitrogen,7.24,7/15/2021,7/26/2021,HNSr2,4,bibb
Boron,0.35,7/15/2021,7/26/2021,HNSr2,4,bibb
Calcium,168.50,7/15/2021,7/26/2021,HNSr2,4,bibb
Copper,0.46,7/15/2021,7/26/2021,HNSr2,4,bibb
Iron,2.05,7/15/2021,7/26/2021,HNSr2,4,bibb
Magnesium,47.22,7/15/2021,7/26/2021,HNSr2,4,bibb
Manganese,0.07,7/15/2021,7/26/2021,HNSr2,4,bibb
Molybdenum,0.08,7/15/2021,7/26/2021,HNSr2,4,bibb
Nitrate-Nitrogen,186.18,7/15/2021,7/26/2021,HNSr2,4,bibb
pH,5.9,7/15/2021,7/26/2021,HNSr2,4,bibb
Phosphorus,40.93,7/15/2021,7/26/2021,HNSr2,4,bibb
Potassium,156.89,7/15/2021,7/26/2021,HNSr2,4,bibb
Sulfate,171.43,7/15/2021,7/26/2021,HNSr2,4,bibb
Zinc,0.23,7/15/2021,7/26/2021,HNSr2,4,bibb
Ammonia-Nitrogen,1.43,7/15/2021,7/26/2021,HNSr3,10,romaine
Boron,0.36,7/15/2021,7/26/2021,HNSr3,10,romaine
Calcium,172.72,7/15/2021,7/26/2021,HNSr3,10,romaine
Copper,0.36,7/15/2021,7/26/2021,HNSr3,10,romaine
Iron,2.20,7/15/2021,7/26/2021,HNSr3,10,romaine
Magnesium,47.82,7/15/2021,7/26/2021,HNSr3,10,romaine
Manganese,0.56,7/15/2021,7/26/2021,HNSr3,10,romaine
Molybdenum,0.07,7/15/2021,7/26/2021,HNSr3,10,romaine
Nitrate-Nitrogen,189.73,7/15/2021,7/26/2021,HNSr3,10,romaine
pH,6.0,7/15/2021,7/26/2021,HNSr3,10,romaine
Phosphorus,37.55,7/15/2021,7/26/2021,HNSr3,10,romaine
Potassium,134.37,7/15/2021,7/26/2021,HNSr3,10,romaine
Sulfate,169.30,7/15/2021,7/26/2021,HNSr3,10,romaine
Zinc,0.25,7/15/2021,7/26/2021,HNSr3,10,romaine
Ammonia-Nitrogen,0.09,7/22/2021,8/2/2021,HNSr2,11,bibb
Boron,0.37,7/22/2021,8/2/2021,HNSr2,11,bibb
Calcium,186.55,7/22/2021,8/2/2021,HNSr2,11,bibb
Copper,0.53,7/22/2021,8/2/2021,HNSr2,11,bibb
Iron,2.41,7/22/2021,8/2/2021,HNSr2,11,bibb
Magnesium,53.14,7/22/2021,8/2/2021,HNSr2,11,bibb
Manganese,0.59,7/22/2021,8/2/2021,HNSr2,11,bibb
Molybdenum,,7/22/2021,8/2/2021,HNSr2,11,bibb
Nitrate-Nitrogen,174.55,7/22/2021,8/2/2021,HNSr2,11,bibb
pH,6.0,7/22/2021,8/2/2021,HNSr2,11,bibb
Phosphorus,43.12,7/22/2021,8/2/2021,HNSr2,11,bibb
Potassium,140.21,7/22/2021,8/2/2021,HNSr2,11,bibb
Sulfate,193.75,7/22/2021,8/2/2021,HNSr2,11,bibb
Zinc,0.24,7/22/2021,8/2/2021,HNSr2,11,bibb
Ammonia-Nitrogen,1.58,7/22/2021,8/2/2021,HNSr3,17,romaine
Boron,0.41,7/22/2021,8/2/2021,HNSr3,17,romaine
Calcium,201.44,7/22/2021,8/2/2021,HNSr3,17,romaine
Copper,0.47,7/22/2021,8/2/2021,HNSr3,17,romaine
Iron,2.67,7/22/2021,8/2/2021,HNSr3,17,romaine
Magnesium,58.11,7/22/2021,8/2/2021,HNSr3,17,romaine
Manganese,0.46,7/22/2021,8/2/2021,HNSr3,17,romaine
Molybdenum,,7/22/2021,8/2/2021,HNSr3,17,romaine
Nitrate-Nitrogen,189.35,7/22/2021,8/2/2021,HNSr3,17,romaine
pH,6.4,7/22/2021,8/2/2021,HNSr3,17,romaine
Phosphorus,31.58,7/22/2021,8/2/2021,HNSr3,17,romaine
Potassium,78.25,7/22/2021,8/2/2021,HNSr3,17,romaine
Sulfate,209.96,7/22/2021,8/2/2021,HNSr3,17,romaine
Zinc,0.29,7/22/2021,8/2/2021,HNSr3,17,romaine
Ammonia-Nitrogen,5.86,7/29/2021,8/2/2021,HNSr1,4,romaine
Boron,0.22,7/29/2021,8/2/2021,HNSr1,4,romaine
Calcium,164.68,7/29/2021,8/2/2021,HNSr1,4,romaine
Copper,0.35,7/29/2021,8/2/2021,HNSr1,4,romaine
Iron,2.00,7/29/2021,8/2/2021,HNSr1,4,romaine
Magnesium,45.81,7/29/2021,8/2/2021,HNSr1,4,romaine
Manganese,0.05,7/29/2021,8/2/2021,HNSr1,4,romaine
Molybdenum,0.09,7/29/2021,8/2/2021,HNSr1,4,romaine
Nitrate-Nitrogen,183.43,7/29/2021,8/2/2021,HNSr1,4,romaine
pH,6.2,7/29/2021,8/2/2021,HNSr1,4,romaine
Phosphorus,39.97,7/29/2021,8/2/2021,HNSr1,4,romaine
Potassium,151.74,7/29/2021,8/2/2021,HNSr1,4,romaine
Sulfate,161.24,7/29/2021,8/2/2021,HNSr1,4,romaine
Zinc,0.26,7/29/2021,8/2/2021,HNSr1,4,romaine
Ammonia-Nitrogen,0.09,7/29/2021,8/2/2021,HNSr2,18,bibb
Boron,0.29,7/29/2021,8/2/2021,HNSr2,18,bibb
Calcium,206.29,7/29/2021,8/2/2021,HNSr2,18,bibb
Copper,0.62,7/29/2021,8/2/2021,HNSr2,18,bibb
Iron,2.61,7/29/2021,8/2/2021,HNSr2,18,bibb
Magnesium,60.42,7/29/2021,8/2/2021,HNSr2,18,bibb
Manganese,0.20,7/29/2021,8/2/2021,HNSr2,18,bibb
Molybdenum,0.11,7/29/2021,8/2/2021,HNSr2,18,bibb
Nitrate-Nitrogen,184.9,7/29/2021,8/2/2021,HNSr2,18,bibb
pH,6.6,7/29/2021,8/2/2021,HNSr2,18,bibb
Phosphorus,39.93,7/29/2021,8/2/2021,HNSr2,18,bibb
Potassium,89.19,7/29/2021,8/2/2021,HNSr2,18,bibb
Sulfate,225.27,7/29/2021,8/2/2021,HNSr2,18,bibb
Zinc,0.27,7/29/2021,8/2/2021,HNSr2,18,bibb
Ammonia-Nitrogen,0.09,7/29/2021,8/2/2021,HNSr3,24,romaine
Boron,0.33,7/29/2021,8/2/2021,HNSr3,24,romaine
Calcium,213.91,7/29/2021,8/2/2021,HNSr3,24,romaine
Copper,0.54,7/29/2021,8/2/2021,HNSr3,24,romaine
Iron,2.80,7/29/2021,8/2/2021,HNSr3,24,romaine
Magnesium,61.91,7/29/2021,8/2/2021,HNSr3,24,romaine
Manganese,0.05,7/29/2021,8/2/2021,HNSr3,24,romaine
Molybdenum,0.12,7/29/2021,8/2/2021,HNSr3,24,romaine
Nitrate-Nitrogen,186.40,7/29/2021,8/2/2021,HNSr3,24,romaine
pH,7.0,7/29/2021,8/2/2021,HNSr3,24,romaine
Phosphorus,27.12,7/29/2021,8/2/2021,HNSr3,24,romaine
Potassium,68.20,7/29/2021,8/2/2021,HNSr3,24,romaine
Sulfate,237.64,7/29/2021,8/2/2021,HNSr3,24,romaine
Zinc,0.31,7/29/2021,8/2/2021,HNSr3,24,romaine
Ammonia-Nitrogen,0.01,8/9/2021,8/10/2021,HNSr1,15,romaine
Boron,0.33,8/9/2021,8/10/2021,HNSr1,15,romaine
Calcium,192.15,8/9/2021,8/10/2021,HNSr1,15,romaine
Copper,0.41,8/9/2021,8/10/2021,HNSr1,15,romaine
Iron,2.46,8/9/2021,8/10/2021,HNSr1,15,romaine
Magnesium,53.40,8/9/2021,8/10/2021,HNSr1,15,romaine
Manganese,0.51,8/9/2021,8/10/2021,HNSr1,15,romaine
Molybdenum,0.09,8/9/2021,8/10/2021,HNSr1,15,romaine
Nitrate-Nitrogen,175.43,8/9/2021,8/10/2021,HNSr1,15,romaine
pH,5.9,8/9/2021,8/10/2021,HNSr1,15,romaine
Phosphorus,40.30,8/9/2021,8/10/2021,HNSr1,15,romaine
Potassium,113.82,8/9/2021,8/10/2021,HNSr1,15,romaine
Sulfate,199.26,8/9/2021,8/10/2021,HNSr1,15,romaine
Zinc,0.29,8/9/2021,8/10/2021,HNSr1,15,romaine
Ammonia-Nitrogen,7.88,8/9/2021,8/10/2021,HNSr2,0,bibb
Boron,0.28,8/9/2021,8/10/2021,HNSr2,0,bibb
Calcium,166.81,8/9/2021,8/10/2021,HNSr2,0,bibb
Copper,0.35,8/9/2021,8/10/2021,HNSr2,0,bibb
Iron,2.56,8/9/2021,8/10/2021,HNSr2,0,bibb
Magnesium,45.31,8/9/2021,8/10/2021,HNSr2,0,bibb
Manganese,0.01,8/9/2021,8/10/2021,HNSr2,0,bibb
Molybdenum,0.09,8/9/2021,8/10/2021,HNSr2,0,bibb
Nitrate-Nitrogen,175.43,8/9/2021,8/10/2021,HNSr2,0,bibb
pH,6.2,8/9/2021,8/10/2021,HNSr2,0,bibb
Phosphorus,42.23,8/9/2021,8/10/2021,HNSr2,0,bibb
Potassium,154.73,8/9/2021,8/10/2021,HNSr2,0,bibb
Sulfate,171.01,8/9/2021,8/10/2021,HNSr2,0,bibb
Zinc,0.26,8/9/2021,8/10/2021,HNSr2,0,bibb
Ammonia-Nitrogen,4.90,8/9/2021,8/10/2021,HNSr3,7,romaine
Boron,0.30,8/9/2021,8/10/2021,HNSr3,7,romaine
Calcium,175.51,8/9/2021,8/10/2021,HNSr3,7,romaine
Copper,0.36,8/9/2021,8/10/2021,HNSr3,7,romaine
Iron,2.12,8/9/2021,8/10/2021,HNSr3,7,romaine
Magnesium,48.90,8/9/2021,8/10/2021,HNSr3,7,romaine
Manganese,0.50,8/9/2021,8/10/2021,HNSr3,7,romaine
Molybdenum,0.08,8/9/2021,8/10/2021,HNSr3,7,romaine
Nitrate-Nitrogen,179.55,8/9/2021,8/10/2021,HNSr3,7,romaine
pH,5.4,8/9/2021,8/10/2021,HNSr3,7,romaine
Phosphorus,43.15,8/9/2021,8/10/2021,HNSr3,7,romaine
Potassium,152.15,8/9/2021,8/10/2021,HNSr3,7,romaine
Sulfate,181.74,8/9/2021,8/10/2021,HNSr3,7,romaine
Zinc,0.27,8/9/2021,8/10/2021,HNSr3,7,romaine
Ammonia-Nitrogen,0.10,8/12/2021,8/24/2021,HNSr1,18,romaine
Boron,0.37,8/12/2021,8/24/2021,HNSr1,18,romaine
Calcium,191.18,8/12/2021,8/24/2021,HNSr1,18,romaine
Copper,0.43,8/12/2021,8/24/2021,HNSr1,18,romaine
Iron,2.44,8/12/2021,8/24/2021,HNSr1,18,romaine
Magnesium,53.38,8/12/2021,8/24/2021,HNSr1,18,romaine
Manganese,0.38,8/12/2021,8/24/2021,HNSr1,18,romaine
Molybdenum,0.09,8/12/2021,8/24/2021,HNSr1,18,romaine
Nitrate-Nitrogen,179.53,8/12/2021,8/24/2021,HNSr1,18,romaine
pH,6.2,8/12/2021,8/24/2021,HNSr1,18,romaine
Phosphorus,36.92,8/12/2021,8/24/2021,HNSr1,18,romaine
Potassium,97.54,8/12/2021,8/24/2021,HNSr1,18,romaine
Sulfate,201.03,8/12/2021,8/24/2021,HNSr1,18,romaine
Zinc,0.30,8/12/2021,8/24/2021,HNSr1,18,romaine
Ammonia-Nitrogen,8.22,8/12/2021,8/24/2021,HNSr2,3,bibb
Boron,0.31,8/12/2021,8/24/2021,HNSr2,3,bibb
Calcium,160.60,8/12/2021,8/24/2021,HNSr2,3,bibb
Copper,0.34,8/12/2021,8/24/2021,HNSr2,3,bibb
Iron,2.14,8/12/2021,8/24/2021,HNSr2,3,bibb
Magnesium,44.80,8/12/2021,8/24/2021,HNSr2,3,bibb
Manganese,0.59,8/12/2021,8/24/2021,HNSr2,3,bibb
Molybdenum,0.09,8/12/2021,8/24/2021,HNSr2,3,bibb
Nitrate-Nitrogen,175.53,8/12/2021,8/24/2021,HNSr2,3,bibb
pH,5.8,8/12/2021,8/24/2021,HNSr2,3,bibb
Phosphorus,39.59,8/12/2021,8/24/2021,HNSr2,3,bibb
Potassium,147.73,8/12/2021,8/24/2021,HNSr2,3,bibb
Sulfate,169.48,8/12/2021,8/24/2021,HNSr2,3,bibb
Zinc,0.25,8/12/2021,8/24/2021,HNSr2,3,bibb
Ammonia-Nitrogen,1.14,8/12/2021,8/24/2021,HNSr3,10,romaine
Boron,0.85,8/12/2021,8/24/2021,HNSr3,10,romaine
Calcium,167.96,8/12/2021,8/24/2021,HNSr3,10,romaine
Copper,0.39,8/12/2021,8/24/2021,HNSr3,10,romaine
Iron,2.08,8/12/2021,8/24/2021,HNSr3,10,romaine
Magnesium,47.54,8/12/2021,8/24/2021,HNSr3,10,romaine
Manganese,0.37,8/12/2021,8/24/2021,HNSr3,10,romaine
Molybdenum,0.08,8/12/2021,8/24/2021,HNSr3,10,romaine
Nitrate-Nitrogen,174.20,8/12/2021,8/24/2021,HNSr3,10,romaine
pH,6.0,8/12/2021,8/24/2021,HNSr3,10,romaine
Phosphorus,38.70,8/12/2021,8/24/2021,HNSr3,10,romaine
Potassium,132.47,8/12/2021,8/24/2021,HNSr3,10,romaine
Sulfate,174.10,8/12/2021,8/24/2021,HNSr3,10,romaine
Zinc,0.28,8/12/2021,8/24/2021,HNSr3,10,romaine
Ammonia-Nitrogen,8.55,8/12/2021,8/24/2021,HNSrD,,
Boron,0.31,8/12/2021,8/24/2021,HNSrD,,
Calcium,155.64,8/12/2021,8/24/2021,HNSrD,,
Copper,0.51,8/12/2021,8/24/2021,HNSrD,,
Iron,1.66,8/12/2021,8/24/2021,HNSrD,,
Magnesium,44.29,8/12/2021,8/24/2021,HNSrD,,
Manganese,0.02,8/12/2021,8/24/2021,HNSrD,,
Molybdenum,0.09,8/12/2021,8/24/2021,HNSrD,,
Nitrate-Nitrogen,134.30,8/12/2021,8/24/2021,HNSrD,,
pH,,8/12/2021,8/24/2021,HNSrD,,
Phosphorus,40.17,8/12/2021,8/24/2021,HNSrD,,
Potassium,145.76,8/12/2021,8/24/2021,HNSrD,,
Sulfate,169.21,8/12/2021,8/24/2021,HNSrD,,
Zinc,0.66,8/12/2021,8/24/2021,HNSrD,,
Nitrate-Nitrogen,219.65,8/19/2021,8/24/2021,HNSr1,25,romaine
Ammonia-Nitrogen,0.01,8/19/2021,8/24/2021,HNSr1,25,romaine
Phosphorus,36.73,8/19/2021,8/24/2021,HNSr1,25,romaine
Potassium,34.01,8/19/2021,8/24/2021,HNSr1,25,romaine
Calcium,234.02,8/19/2021,8/24/2021,HNSr1,25,romaine
Magnesium,65.83,8/19/2021,8/24/2021,HNSr1,25,romaine
Sulfate,255.92,8/19/2021,8/24/2021,HNSr1,25,romaine
Boron,0.44,8/19/2021,8/24/2021,HNSr1,25,romaine
Zinc,0.08,8/19/2021,8/24/2021,HNSr1,25,romaine
Manganese,0.28,8/19/2021,8/24/2021,HNSr1,25,romaine
Iron,3.04,8/19/2021,8/24/2021,HNSr1,25,romaine
Copper,0.6,8/19/2021,8/24/2021,HNSr1,25,romaine
Molybdenum,0.12,8/19/2021,8/24/2021,HNSr1,25,romaine
pH,6.2,8/19/2021,8/24/2021,HNSr1,25,romaine
Nitrate-Nitrogen,190.75,8/19/2021,8/24/2021,HNSr2,10,bibb
Ammonia-Nitrogen,0.98,8/19/2021,8/24/2021,HNSr2,10,bibb
Phosphorus,40.78,8/19/2021,8/24/2021,HNSr2,10,bibb
Potassium,137.54,8/19/2021,8/24/2021,HNSr2,10,bibb
Calcium,171.62,8/19/2021,8/24/2021,HNSr2,10,bibb
Magnesium,48.58,8/19/2021,8/24/2021,HNSr2,10,bibb
Sulfate,181.44,8/19/2021,8/24/2021,HNSr2,10,bibb
Boron,0.32,8/19/2021,8/24/2021,HNSr2,10,bibb
Zinc,0.01,8/19/2021,8/24/2021,HNSr2,10,bibb
Manganese,0.52,8/19/2021,8/24/2021,HNSr2,10,bibb
Iron,2.32,8/19/2021,8/24/2021,HNSr2,10,bibb
Copper,0.42,8/19/2021,8/24/2021,HNSr2,10,bibb
Molybdenum,0.1,8/19/2021,8/24/2021,HNSr2,10,bibb
pH,5.6,8/19/2021,8/24/2021,HNSr2,10,bibb
Nitrate-Nitrogen,200.88,8/19/2021,8/24/2021,HNSr3,17,romaine
Ammonia-Nitrogen,0.01,8/19/2021,8/24/2021,HNSr3,17,romaine
Phosphorus,34.99,8/19/2021,8/24/2021,HNSr3,17,romaine
Potassium,91.8,8/19/2021,8/24/2021,HNSr3,17,romaine
Calcium,189.53,8/19/2021,8/24/2021,HNSr3,17,romaine
Magnesium,54.3,8/19/2021,8/24/2021,HNSr3,17,romaine
Sulfate,206.6,8/19/2021,8/24/2021,HNSr3,17,romaine
Boron,0.36,8/19/2021,8/24/2021,HNSr3,17,romaine
Zinc,0.02,8/19/2021,8/24/2021,HNSr3,17,romaine
Manganese,0.13,8/19/2021,8/24/2021,HNSr3,17,romaine
Iron,2.41,8/19/2021,8/24/2021,HNSr3,17,romaine
Copper,0.48,8/19/2021,8/24/2021,HNSr3,17,romaine
Molybdenum,0.11,8/19/2021,8/24/2021,HNSr3,17,romaine
pH,5.8,8/19/2021,8/24/2021,HNSr3,17,romaine
Nitrate-Nitrogen,210,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Ammonia-Nitrogen,6.6,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Phosphorus,39.94,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Potassium,150.84,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Calcium,167.27,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Magnesium,45.99,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Sulfate,172.41,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Boron,0.33,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Zinc,0.25,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Manganese,0.29,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Iron,1.9,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Copper,0.53,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
pH,5.8,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Molybdenum,0.08,8/26/2021,8/30/2021,HNSr1,3,red_oakleaf
Nitrate-Nitrogen,227.5,8/26/2021,8/30/2021,HNSr2,17,bibb
Ammonia-Nitrogen,0.03,8/26/2021,8/30/2021,HNSr2,17,bibb
Phosphorus,40.14,8/26/2021,8/30/2021,HNSr2,17,bibb
Potassium,119.87,8/26/2021,8/30/2021,HNSr2,17,bibb
Calcium,201.47,8/26/2021,8/30/2021,HNSr2,17,bibb
Magnesium,57.24,8/26/2021,8/30/2021,HNSr2,17,bibb
Sulfate,215.7,8/26/2021,8/30/2021,HNSr2,17,bibb
Boron,0.4,8/26/2021,8/30/2021,HNSr2,17,bibb
Zinc,0.72,8/26/2021,8/30/2021,HNSr2,17,bibb
Manganese,0.41,8/26/2021,8/30/2021,HNSr2,17,bibb
Iron,2.43,8/26/2021,8/30/2021,HNSr2,17,bibb
Copper,0.51,8/26/2021,8/30/2021,HNSr2,17,bibb
Molybdenum,0.1,8/26/2021,8/30/2021,HNSr2,17,bibb
pH,6.3,8/26/2021,8/30/2021,HNSr2,17,bibb
Nitrate-Nitrogen,227.5,8/26/2021,8/30/2021,HNSr3,24,romaine
Ammonia-Nitrogen,0.04,8/26/2021,8/30/2021,HNSr3,24,romaine
Phosphorus,29.16,8/26/2021,8/30/2021,HNSr3,24,romaine
Potassium,53.24,8/26/2021,8/30/2021,HNSr3,24,romaine
Calcium,227.77,8/26/2021,8/30/2021,HNSr3,24,romaine
Magnesium,65.32,8/26/2021,8/30/2021,HNSr3,24,romaine
Sulfate,257.75,8/26/2021,8/30/2021,HNSr3,24,romaine
Boron,0.47,8/26/2021,8/30/2021,HNSr3,24,romaine
Zinc,0.39,8/26/2021,8/30/2021,HNSr3,24,romaine
Manganese,0.04,8/26/2021,8/30/2021,HNSr3,24,romaine
Iron,2.97,8/26/2021,8/30/2021,HNSr3,24,romaine
Copper,0.61,8/26/2021,8/30/2021,HNSr3,24,romaine
pH,6.4,8/26/2021,8/30/2021,HNSr3,24,romaine
Molybdenum,0.12,8/26/2021,8/30/2021,HNSr3,24,romaine
